feature,coefficient,abs_coefficient
Day,-2.988878727513532,2.988878727513532
Time,2.381113156110492,2.381113156110492
Amount,2.1527561161755293,2.1527561161755293
V1,1.4644319868656028,1.4644319868656028
V14,-1.319264434451738,1.319264434451738
V12,-1.2610174007194541,1.2610174007194541
V5,1.1869022933421778,1.1869022933421778
V4,1.0915667362108783,1.0915667362108783
V2,1.035752724598177,1.035752724598177
V17,-0.8126711428737442,0.8126711428737442
V16,-0.735044444934771,0.735044444934771
V6,-0.7063454634553478,0.7063454634553478
V10,-0.6958064506895304,0.6958064506895304
Hour,-0.6598596065864448,0.6598596065864448
V7,-0.6261608162897802,0.6261608162897802
V22,0.5871485821936338,0.5871485821936338
V20,-0.5841392750918029,0.5841392750918029
V11,0.5421599265609286,0.5421599265609286
V8,-0.5253670226448593,0.5253670226448593
V15,-0.3143015039840706,0.3143015039840706
V28,0.29111194979035593,0.29111194979035593
V23,0.2808771001156515,0.2808771001156515
V19,0.25620360990191154,0.25620360990191154
V13,-0.22927073310641075,0.22927073310641075
V3,0.19502331590752034,0.19502331590752034
V18,-0.1706818342233182,0.1706818342233182
V21,0.08579934765002589,0.08579934765002589
V26,-0.06619545942099368,0.06619545942099368
V27,0.06301132828257737,0.06301132828257737
V24,0.054753101417096835,0.054753101417096835
V9,-0.044422584693229364,0.044422584693229364
V25,-0.01788517898274093,0.01788517898274093
