feature,importance
V14,0.2712712498472374
V12,0.16957863251994987
V10,0.13094809333237512
V4,0.07750419094904923
V17,0.06728203714894297
V11,0.06496737855589649
V16,0.03148643274210537
V3,0.015130517981046419
V7,0.014057747942724417
Amount,0.013703013589194506
V8,0.010791281040547053
V19,0.010683667910437667
V13,0.01065380809851607
V26,0.010503352478643029
V20,0.008939928097579174
V21,0.008540339990185495
V18,0.008523159790866775
V2,0.008010355163933754
V15,0.007966044221268257
V6,0.00696868331529516
V9,0.006527047524617838
V1,0.0062661691487317095
V25,0.005878109715649081
V27,0.005724610074336289
V23,0.005493208191789335
V5,0.005144388691755479
V22,0.004645468890244373
Time,0.004078195605541037
Hour,0.0029249048918992392
V28,0.002774375588601269
V24,0.002594015881099983
Day,0.00043959107994021333
